preco,area_m2,quartos,banheiros,vagas,localizacao,imovel
200000.0,39,2.0,1.0,1.0,"Altos do Jaraguá, Araraquara",Apartamento
580000.0,263,5.0,3.0,3.0,"Jardim Nova América, Araraquara",Casa
185000.0,46,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
121900.0,45,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
150000.0,46,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
470000.0,248,3.0,2.0,2.0,"Jardim Cruzeiro do Sul I e II, Araraquara",Casa
335000.0,72,2.0,1.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
270000.0,140,3.0,1.0,1.0,"Parque Residencial Jatobá, Araraquara",comercial
260000.0,56,2.0,1.0,2.0,"Parque São Paulo (Vila Xavier), Araraquara",Casa
145000.0,50,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
270000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
520000.0,135,3.0,3.0,4.0,"Centro, Araraquara",comercial
460000.0,58,2.0,2.0,1.0,"Jardim Nova Araraquara, Araraquara",Apartamento
189999.0,113,2.0,1.0,5.0,"Vila Progresso, Araraquara",comercial
360000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
250000.0,69,2.0,1.0,1.0,"Centro, Araraquara",Apartamento
480000.0,195,3.0,3.0,2.0,"Jardim Nova Época, Araraquara",Casa
420000.0,133,3.0,2.0,5.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
149000.0,44,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
149000.0,40,2.0,1.0,1.0,"Jardim Quitandinha II, Araraquara",Apartamento
200000.0,39,1.0,1.0,1.0,"Centro, Araraquara",Apartamento
220000.0,69,1.0,2.0,4.0,"Parque Residencial Vale do Sol, Araraquara",comercial
280000.0,51,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
160000.0,46,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
160000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
430000.0,199,4.0,2.0,2.0,"Jardim Almeida, Araraquara",Conjunto
180000.0,39,2.0,1.0,1.0,"Jardim Brasília (Vila Xavier), Araraquara",Apartamento
160000.0,46,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
160000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
430000.0,199,4.0,2.0,2.0,"Jardim Almeida, Araraquara",Conjunto
180000.0,39,2.0,1.0,1.0,"Jardim Brasília (Vila Xavier), Araraquara",Apartamento
130000.0,40,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
495000.0,62,2.0,2.0,1.0,"Jardim dos Manacás, Araraquara",Apartamento
144900.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
169000.0,44,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
290000.0,49,2.0,1.0,1.0,"Vila Furlan, Araraquara",Apartamento
155000.0,43,2.0,1.0,1.0,"Jardim Residencial Elvio Lupo, Araraquara",Apartamento
135000.0,45,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
300000.0,51,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
130000.0,49,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
159840.0,55,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
600000.0,144,3.0,2.0,2.0,"Vila José Bonifácio, Araraquara",comercial
350000.0,62,2.0,2.0,1.0,"Jardim Magnólias, Araraquara",Apartamento
300000.0,150,2.0,1.0,1.0,"Centro, Araraquara",comercial
96000.0,46,2.0,1.0,1.0,"Jardim São Rafael II, Araraquara",Apartamento
